Symbol,Strike,Last,% From Last,Bid,Midpoint,Ask,Change,%Chg,IV,Volume,Open Int,Type,DTE,Exp Date,Time,Avg IV
AAPL|20200626|155.00C,155.00,202.75,-56.81%,203.35,203.98,204.60,12.60,+6.63%,0.00%,23,4,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|160.00C,160.00,198.40,-55.42%,198.30,198.98,199.65,198.40,unch,0.00%,13,0,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|165.00C,165.00,191.40,-54.02%,193.35,194.00,194.65,6.90,+3.74%,0.00%,8,1,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|170.00C,170.00,0.00,-52.63%,188.45,189.05,189.65,0.00,unch,0.00%,0,0,Call,4,06/26/20,N/A,31.73%
AAPL|20200626|175.00C,175.00,0.00,-51.24%,183.45,184.05,184.65,0.00,unch,0.00%,0,0,Call,4,06/26/20,N/A,31.73%
AAPL|20200626|180.00C,180.00,175.60,-49.84%,178.35,179.00,179.65,10.30,+6.23%,0.00%,5,2,Call,4,06/26/20,06/22/20,31.73%
AAPL|20200626|185.00C,185.00,0.00,-48.45%,173.30,173.98,174.65,0.00,unch,0.00%,0,0,Call,4,06/26/20,N/A,31.73%
AAPL|20200626|190.00C,190.00,162.95,-47.06%,168.35,169.05,169.75,162.95,unch,0.00%,0,1,Call,4,06/26/20,N/A,31.73%
AAPL|20200626|195.00C,195.00,0.00,-45.66%,163.45,164.02,164.60,0.00,unch,0.00%,0,0,Call,4,06/26/20,N/A,31.73%
AAPL|20200626|200.00C,200.00,154.34,-44.27%,158.45,159.05,159.65,4.45,+2.97%,0.00%,2,16,Call,4,06/26/20,06/17/20,31.73%
AAPL|20200626|205.00C,205.00,144.92,-42.88%,153.45,154.05,154.65,144.92,unch,0.00%,3,3,Call,4,06/26/20,06/16/20,31.73%
AAPL|20200626|210.00C,210.00,131.38,-41.48%,148.45,149.05,149.65,131.38,unch,0.00%,0,25,Call,4,06/26/20,N/A,31.73%
AAPL|20200626|215.00C,215.00,0.00,-40.09%,143.30,143.98,144.65,0.00,unch,0.00%,0,0,Call,4,06/26/20,N/A,31.73%
AAPL|20200626|220.00C,220.00,103.30,-38.70%,138.25,139.00,139.75,103.30,unch,0.00%,0,40,Call,4,06/26/20,N/A,31.73%
AAPL|20200626|225.00C,225.00,119.40,-37.30%,133.45,134.10,134.75,119.40,unch,0.00%,0,8,Call,4,06/26/20,N/A,31.73%
AAPL|20200626|230.00C,230.00,114.73,-35.91%,127.75,128.75,129.75,114.73,unch,0.00%,0,13,Call,4,06/26/20,N/A,31.73%
AAPL|20200626|235.00C,235.00,109.85,-34.52%,123.30,123.98,124.65,109.85,unch,0.00%,0,54,Call,4,06/26/20,N/A,31.73%
AAPL|20200626|240.00C,240.00,107.70,-33.12%,118.45,119.03,119.60,-4.16,-3.72%,0.00%,7,13,Call,4,06/26/20,06/19/20,31.73%
