Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
ET,5.96,Call,6.00,05/08/20,25,0.51,0.53,0.55,0.53,42116,382,110.25,87.84%,04/13/20
CRM,152.5,Call,135.00,08/21/20,130,25.50,26.2,26.90,26.00,12054,114,105.74,44.78%,04/13/20
GD,136.95,Call,155.00,05/15/20,32,1.20,1.28,1.35,1.30,10458,105,99.6,39.58%,04/13/20
TSLA,650.95,Put,580.00,04/17/20,4,3.90,3.95,4.00,4.00,18135,294,61.68,97.25%,04/13/20
SWCH,15.64,Call,18.00,05/15/20,32,0.35,0.43,0.50,0.40,5273,105,50.22,62.23%,04/13/20
X,6.8,Put,7.00,06/19/20,67,1.02,1.04,1.06,1.05,4018,102,39.39,81.60%,04/13/20
TSLA,650.95,Put,590.00,04/17/20,4,5.30,5.4,5.50,5.34,6835,220,31.07,95.70%,04/13/20
GOOS,21.26,Call,22.50,05/15/20,32,1.40,1.42,1.45,1.45,5999,217,27.65,77.54%,04/13/20
AMZN,2168.87,Put,2160.00,04/17/20,4,31.05,31.78,32.50,32.21,4382,161,27.22,40.52%,04/13/20
EPD,16.73,Put,16.00,05/15/20,32,1.15,1.23,1.30,1.25,6070,232,26.16,82.88%,04/13/20
AMD,50.94,Put,51.00,04/17/20,4,1.36,1.39,1.42,1.38,4162,161,25.85,63.61%,04/13/20
SDC,4.12,Call,4.00,05/01/20,18,0.60,0.68,0.75,0.65,4637,182,25.48,164.05%,04/13/20
SLB,15.95,Call,20.00,08/21/20,130,1.35,1.41,1.46,1.37,10058,459,21.91,69.47%,04/13/20
AMZN,2168.87,Put,2200.00,04/17/20,4,53.65,55.85,58.05,55.17,2341,109,21.48,41.43%,04/13/20
UNP,146.9,Call,165.00,06/19/20,67,3.15,3.6,4.05,3.40,12013,582,20.64,36.92%,04/13/20
NWBI,11.16,Call,12.50,05/15/20,32,0.15,0.2,0.25,0.20,2063,103,20.03,47.49%,04/13/20
C,46.68,Call,48.50,04/17/20,4,1.28,1.34,1.39,1.36,6621,334,19.82,108.03%,04/13/20
FCAU,8.05,Call,7.00,06/19/20,67,1.55,1.63,1.70,1.60,2843,149,19.08,76.32%,04/13/20
TSLA,650.95,Put,595.00,04/17/20,4,6.20,6.33,6.45,6.30,3415,179,19.08,95.86%,04/13/20
AMZN,2168.87,Put,2100.00,04/17/20,4,10.60,11.3,12.00,11.49,7302,396,18.44,40.38%,04/13/20
AMZN,2168.87,Put,2090.00,04/17/20,4,8.35,9.33,10.30,9.64,2171,124,17.51,40.82%,04/13/20
WFC,31.43,Call,40.00,04/24/20,11,0.10,0.11,0.12,0.12,2931,171,17.14,86.11%,04/13/20
