Symbol,Price,Type,Strike,"""Exp Date""",DTE,Bid,Midpoint,Ask,Last,Volume,"""Open Int""",Vol/OI,IV,Time,Delta,Gamma,Theta,Vega
AMZN,2168.87,Call,2220.00,04/17/20,4,16.45,17.25,18.05,17.15,2754,224,12.29,40.55%,04/13/20,0.29886018543281184,0.0037699704269248554,-1457.9972608597332,78.80666916796693
AMZN,2168.87,Call,2180.00,04/17/20,4,30.00,30.75,31.50,31.10,3647,361,10.1,39.92%,04/13/20,0.45954191090500485,0.004378864118511804,-1641.2683000178708,90.1127350601406
AMZN,2168.87,Call,2270.00,04/17/20,4,7.75,8.15,8.55,8.40,1213,122,9.94,43.40%,04/13/20,0.1634511786135138,0.0025037821510344254,-1109.2081339857705,56.01707639597351
AMZN,2168.87,Call,2250.00,04/17/20,4,10.50,10.95,11.40,10.88,5294,618,8.57,41.77%,04/13/20,0.20668281822726983,0.0030104771254969706,-1235.382172125836,64.82372402692295
AMZN,2168.87,Call,2160.00,04/17/20,4,38.80,40.15,41.50,40.10,3946,473,8.34,39.07%,04/13/20,0.5480145643418618,0.004464664766714144,-1602.9232380566095,89.9220991087502
AMZN,2168.87,Call,2290.00,04/17/20,4,5.65,6.1,6.55,6.15,1307,177,7.38,44.24%,04/13/20,0.1250111782230384,0.002049525107405087,-943.4535589068099,46.741487721113224
AMZN,2168.87,Call,2230.00,04/17/20,4,14.80,15.05,15.30,14.80,2065,283,7.3,40.99%,04/13/20,0.2655596461600866,0.003523215021543999,-1392.2974672656132,74.44769180672137
AMZN,2168.87,Call,2210.00,04/17/20,4,19.00,19.9,20.80,20.05,2004,284,7.06,40.38%,04/13/20,0.3360454922275471,0.003978517499256811,-1525.7765975044897,82.81743152405515
AMZN,2168.87,Call,2240.00,04/17/20,4,12.05,12.5,12.95,12.84,2537,380,6.68,41.57%,04/13/20,0.23583245566593908,0.003262232180099336,-1325.903643487317,69.90835163595015
AMZN,2168.87,Call,2130.00,04/17/20,4,55.70,57.6,59.50,59.16,3565,546,6.53,40.38%,04/13/20,0.6732650871988445,0.00393423123552297,-1508.7926468724693,81.89556185402887
AMZN,2168.87,Call,2260.00,04/17/20,4,8.70,9.3,9.90,9.30,1496,247,6.06,42.16%,04/13/20,0.18128211808868896,0.0027534621227830506,-1151.1114095065516,59.84307189865362
AMZN,2168.87,Call,2150.00,04/17/20,4,44.50,45.75,47.00,46.00,14938,2690,5.55,39.46%,04/13/20,0.591806712379069,0.004334395261210471,-1587.3756799759913,88.16978136214186
AMZN,2168.87,Call,2140.00,04/17/20,4,49.70,51.45,53.20,50.40,3987,736,5.42,37.59%,04/13/20,0.6406557978634473,0.004380716779799744,-1455.8843419717875,84.88904973833976
AMZN,2168.87,Call,2170.00,04/17/20,4,34.40,35.2,36.00,35.24,3992,762,5.24,39.34%,04/13/20,0.5031690560649151,0.004466269471499243,-1625.7384651023303,90.57606480084853
AMZN,2168.87,Call,2120.00,04/17/20,4,61.80,64.9,68.00,65.40,3898,762,5.12,39.66%,04/13/20,0.7155535319427868,0.0037667574955287187,-1393.5101245288085,77.0113153325905
AMZN,2168.87,Call,2190.00,04/17/20,4,26.00,27,28.00,27.00,3430,716,4.79,40.06%,04/13/20,0.4167482966930083,0.004290282011565959,-1619.365109753917,88.59943562759516
AMZN,2168.87,Call,2040.00,04/17/20,4,127.50,131.38,135.25,129.93,3420,776,4.41,30.86%,04/13/20,0.9720812951882885,0.0009147684053061047,-204.89909835199867,14.552621976544444
AMZN,2168.87,Call,2110.00,04/17/20,4,69.40,71.98,74.55,72.00,2654,605,4.39,38.80%,04/13/20,0.7573505327188074,0.003549974628129939,-1256.9724176489012,71.00536182171452
AMZN,2168.87,Call,2280.00,04/17/20,4,6.55,7,7.45,7.13,1157,264,4.38,43.69%,04/13/20,0.14238414517797168,0.0022696182485726123,-1018.952529212162,51.117432180633145
AMZN,2168.87,Call,2045.00,04/17/20,4,123.25,126.73,130.20,131.37,1118,281,3.98,50.03%,04/13/20,0.874731925187935,0.0018149324823008676,-1068.4606361876636,46.80854550010437
AMZN,2168.87,Call,2200.00,04/17/20,4,22.50,23.25,24.00,22.82,16916,4301,3.93,39.63%,04/13/20,0.373435866060691,0.00420868896697807,-1554.6478251610806,85.98151117901303
AMZN,2168.87,Call,2100.00,04/17/20,4,76.75,78.63,80.50,79.00,16596,4347,3.82,37.80%,04/13/20,0.7982138276432136,0.003279495560517675,-1102.116982645527,63.90473190667694
AMZN,2168.87,Call,2080.00,04/17/20,4,93.15,95.6,98.05,97.00,2989,864,3.46,40.82%,04/13/20,0.8414528627860486,0.002609627993513746,-1022.7315431536603,54.914340574585935
AMZN,2168.87,Call,2030.00,04/17/20,4,137.20,140.7,144.20,140.90,2790,834,3.35,38.31%,04/13/20,0.9525397737479697,0.0011373205335709717,-392.5945185289062,22.46100591233913
AMZN,2168.87,Call,2035.00,04/17/20,4,130.75,135.7,140.65,138.51,1324,412,3.21,45.93%,04/13/20,0.911345408907112,0.0015398594661668887,-764.0310798995815,36.459583459025815
AMZN,2168.87,Call,2060.00,04/17/20,4,110.30,115.13,119.95,112.50,1786,593,3.01,36.58%,04/13/20,0.9137199831579592,0.0018946697860967915,-596.2906223161576,35.72822171355903
AMZN,2168.87,Call,2300.00,04/17/20,4,5.50,5.65,5.80,5.65,5952,2214,2.69,45.57%,04/13/20,0.11377586212228387,0.0018617695597833398,-909.3289754295638,43.73600634541777
AMZN,2168.87,Call,2070.00,04/17/20,4,101.15,104.23,107.30,103.58,2764,1165,2.37,36.70%,04/13/20,0.89133196583221,0.0022369490898570955,-708.6393690328093,42.32104029160893
AMZN,2168.87,Call,2090.00,04/17/20,4,84.55,87.57,90.60,89.40,1941,835,2.32,41.75%,04/13/20,0.807682205707919,0.0028840936180422705,-1182.3862228857367,62.072609519060904
AMZN,2168.87,Call,2050.00,04/17/20,4,120.35,122.88,125.40,123.12,3719,1976,1.88,40.90%,04/13/20,0.9095335032230331,0.0017554492759986595,-690.6721567267605,37.01227352924998
AMZN,2168.87,Call,2025.00,04/17/20,4,142.65,145.58,148.50,146.23,995,537,1.85,40.90%,04/13/20,0.947861657848776,0.0011482673250830873,-451.779655930434,24.210317496355778
AMZN,2168.87,Call,2400.00,04/17/20,4,2.56,2.57,2.58,2.58,3926,2530,1.55,57.25%,04/13/20,0.048491922231731405,0.0007742748106960572,-596.8746857088405,22.850977977726735
AMZN,2168.87,Call,2500.00,04/17/20,4,1.50,1.59,1.67,1.67,3374,2245,1.5,69.72%,04/13/20,0.028051403869038705,0.0004065039867492346,-464.7470199376258,14.610206617078909
