Symbol,Price,Type,Strike,"""Exp Date""",DTE,Bid,Midpoint,Ask,Last,Volume,"""Open Int""",Vol/OI,IV,Time,Delta,Gamma,Theta,Vega
TSLA,650.95,Call,635.00,04/17/20,4,32.60,34.3,36.00,35.00,4377,295,14.84,97.62%,04/13/20,0.6155640063662898,0.005743674053995668,-1159.6652939286037,26.037002162224866
TSLA,650.95,Call,670.00,04/17/20,4,19.35,19.98,20.60,20.15,4236,316,13.41,103.87%,04/13/20,0.4164802500894748,0.005512260389327994,-1260.013664449199,26.58779036385997
TSLA,650.95,Call,700.00,04/17/20,4,11.75,11.88,12.00,11.90,39414,3137,12.56,107.47%,04/13/20,0.27777100426804086,0.004578643973613921,-1120.4091314603638,22.850016256038096
TSLA,650.95,Call,720.00,04/17/20,4,7.75,8.23,8.70,8.55,6280,508,12.36,111.33%,04/13/20,0.20989586244171904,0.003797745947884354,-997.2765202132407,19.633625717706895
TSLA,650.95,Call,675.00,04/17/20,4,15.80,17.1,18.40,18.11,3581,393,9.11,102.99%,04/13/20,0.3887440325494291,0.005461885214348183,-1227.433443428845,26.121614540128935
TSLA,650.95,Call,650.00,04/17/20,4,26.40,27.33,28.25,26.64,29415,3340,8.81,96.17%,04/13/20,0.5258510634302587,0.006074719014941385,-1190.3390840420197,27.128651096833824
TSLA,650.95,Call,645.00,04/17/20,4,29.50,31.25,33.00,28.12,3841,461,8.33,92.35%,04/13/20,0.5569813475412592,0.006274536058922826,-1133.7588392950363,26.907968388160853
TSLA,650.95,Call,640.00,04/17/20,4,29.70,32.2,34.70,32.60,8157,1003,8.13,99.15%,04/13/20,0.5852494320245456,0.005769213567208983,-1201.6204760114301,26.56266983908825
TSLA,650.95,Call,595.00,04/17/20,4,58.10,62.08,66.05,62.10,3384,440,7.69,94.46%,04/13/20,0.8310412969907556,0.003915804907023793,-740.2564424959346,17.176369616384633
TSLA,650.95,Call,705.00,04/17/20,4,10.50,10.93,11.35,10.92,1677,222,7.55,108.29%,04/13/20,0.25883479465057707,0.00438537837968175,-1089.5547179346813,22.05249917073877
TSLA,650.95,Call,740.00,04/17/20,4,5.85,6.18,6.50,6.00,2250,315,7.14,114.09%,04/13/20,0.1553352299080947,0.003069320897451846,-846.4527563754152,16.261187817364373
TSLA,650.95,Call,690.00,04/17/20,4,12.95,13.85,14.75,14.17,3587,503,7.13,106.03%,04/13/20,0.31940332296203355,0.004945511411903864,-1177.969370702363,24.350190281165975
TSLA,650.95,Call,615.00,04/17/20,4,43.55,47.58,51.60,47.28,3058,433,7.06,95.68%,04/13/20,0.7314702724734627,0.005057325577070874,-980.9085353324401,22.470072280488385
TSLA,650.95,Call,685.00,04/17/20,4,15.00,15.83,16.65,15.35,2272,326,6.97,104.90%,04/13/20,0.34112835161208094,0.0051322789083334975,-1196.537992839864,25.000467353693434
