Symbol,Price,Type,Strike,"""Exp Date""",DTE,Bid,Midpoint,Ask,Last,Volume,"""Open Int""",Vol/OI,IV,Time
AAPL,273.25,Call,277.50,04/17/20,4,2.70,2.74,2.78,2.78,11649,923,12.62,39.83%,04/13/20
AAPL,273.25,Put,267.50,04/17/20,4,2.57,2.71,2.85,2.85,18268,1836,9.95,46.46%,04/13/20
AAPL,273.25,Call,272.50,04/17/20,4,5.10,5.2,5.30,5.14,12700,2556,4.97,41.54%,04/13/20
AAPL,273.25,Call,267.50,04/17/20,4,8.10,8.38,8.65,8.45,23164,5069,4.57,44.59%,04/13/20
AAPL,273.25,Put,262.50,04/17/20,4,1.63,1.67,1.70,1.69,8719,1943,4.49,48.95%,04/13/20
AAPL,273.25,Put,272.50,04/17/20,4,4.50,4.65,4.80,4.60,2608,650,4.01,43.76%,04/13/20
AAPL,273.25,Call,280.00,04/17/20,4,1.85,1.9,1.95,1.92,59152,14884,3.97,38.97%,04/13/20
AAPL,273.25,Call,285.00,04/17/20,4,0.79,0.81,0.83,0.83,27356,9030,3.03,37.96%,04/13/20
AAPL,273.25,Put,257.50,04/17/20,4,0.76,0.91,1.06,0.99,5220,1765,2.96,51.78%,04/13/20
AAPL,273.25,Call,270.00,04/17/20,4,6.50,6.75,7.00,6.80,42856,15002,2.86,43.93%,04/13/20
AAPL,273.25,Call,275.00,04/17/20,4,3.75,3.85,3.95,3.95,28977,12301,2.36,41.54%,04/13/20
AAPL,273.25,Put,265.00,04/17/20,4,2.11,2.16,2.20,2.17,25961,12397,2.09,47.33%,04/13/20
AAPL,273.25,Put,255.00,04/17/20,4,0.73,0.77,0.81,0.78,15711,7742,2.03,53.73%,04/13/20
AAPL,273.25,Put,260.00,04/17/20,4,1.24,1.32,1.39,1.29,39014,20477,1.91,50.27%,04/13/20
AAPL,273.25,Put,242.50,04/17/20,4,0.16,0.22,0.28,0.22,3362,1814,1.85,62.28%,04/13/20
AAPL,273.25,Put,247.50,04/17/20,4,0.30,0.38,0.45,0.36,2677,1518,1.76,58.70%,04/13/20
AAPL,273.25,Put,270.00,04/17/20,4,3.55,3.63,3.70,3.60,25038,16149,1.55,44.76%,04/13/20
AAPL,273.25,Call,262.50,04/17/20,4,11.95,12.25,12.55,11.95,4420,3166,1.4,42.17%,04/13/20
AAPL,273.25,Put,252.50,04/17/20,4,0.60,0.65,0.70,0.60,3827,2861,1.34,55.32%,04/13/20
