Symbol,Price,Type,Strike,"""Exp Date""",DTE,Bid,Midpoint,Ask,Last,Volume,"""Open Int""",Vol/OI,IV,Time
AMZN,2168.87,Put,2160.00,04/17/20,4,31.05,31.78,32.50,32.21,4382,161,27.22,40.52%,04/13/20
AMZN,2168.87,Put,2200.00,04/17/20,4,53.65,55.85,58.05,55.17,2341,109,21.48,41.43%,04/13/20
AMZN,2168.87,Put,2100.00,04/17/20,4,10.60,11.3,12.00,11.49,7302,396,18.44,40.38%,04/13/20
AMZN,2168.87,Put,2090.00,04/17/20,4,8.35,9.33,10.30,9.64,2171,124,17.51,40.82%,04/13/20
AMZN,2168.87,Put,2070.00,04/17/20,4,6.30,6.65,7.00,6.70,3173,190,16.7,41.70%,04/13/20
AMZN,2168.87,Put,2060.00,04/17/20,4,5.25,5.4,5.55,5.40,2986,189,15.8,41.80%,04/13/20
AMZN,2168.87,Put,2025.00,04/17/20,4,2.35,2.75,3.15,2.35,1620,169,9.59,42.09%,04/13/20
AMZN,2168.87,Put,2120.00,04/17/20,4,15.65,16.53,17.40,17.00,2525,287,8.8,40.69%,04/13/20
AMZN,2168.87,Put,2140.00,04/17/20,4,22.40,23.2,24.00,23.66,2456,283,8.68,40.47%,04/13/20
AMZN,2168.87,Put,2040.00,04/17/20,4,3.50,3.9,4.30,3.73,3105,412,7.54,42.93%,04/13/20
AMZN,2168.87,Put,2170.00,04/17/20,4,36.00,37.53,39.05,37.37,804,131,6.14,40.81%,04/13/20
AMZN,2168.87,Put,2000.00,04/17/20,4,1.88,1.93,1.98,1.95,5001,901,5.55,46.26%,04/13/20
AMZN,2168.87,Put,2130.00,04/17/20,4,18.40,19.63,20.85,19.60,2014,389,5.18,39.93%,04/13/20
AMZN,2168.87,Put,2020.00,04/17/20,4,2.13,2.53,2.92,2.46,2356,465,5.07,43.71%,04/13/20
AMZN,2168.87,Put,2015.00,04/17/20,4,2.01,2.37,2.73,2.40,1026,203,5.05,44.68%,04/13/20
AMZN,2168.87,Put,2150.00,04/17/20,4,27.00,27.6,28.20,27.50,2208,448,4.93,40.25%,04/13/20
AMZN,2168.87,Put,2050.00,04/17/20,4,4.35,4.45,4.55,4.50,6757,1516,4.46,42.38%,04/13/20
AMZN,2168.87,Put,2035.00,04/17/20,4,2.83,3.19,3.55,2.95,675,154,4.38,41.79%,04/13/20
AMZN,2168.87,Put,2080.00,04/17/20,4,7.60,7.8,8.00,7.85,3244,1042,3.11,40.89%,04/13/20
AMZN,2168.87,Put,2030.00,04/17/20,4,3.00,3.2,3.40,3.15,2161,795,2.72,43.70%,04/13/20
AMZN,2168.87,Put,1955.00,04/17/20,4,0.70,0.99,1.28,1.11,516,194,2.66,51.28%,04/13/20
AMZN,2168.87,Put,2010.00,04/17/20,4,2.10,2.28,2.45,2.30,1089,413,2.64,45.46%,04/13/20
AMZN,2168.87,Put,1990.00,04/17/20,4,1.60,1.84,2.08,1.70,950,392,2.42,47.30%,04/13/20
AMZN,2168.87,Put,1950.00,04/17/20,4,0.89,1.04,1.18,1.05,1927,924,2.09,51.88%,04/13/20
AMZN,2168.87,Put,1980.00,04/17/20,4,1.40,1.58,1.76,1.48,708,493,1.44,48.32%,04/13/20
